town,office,party,candidate,votes
Central Falls,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,555
Central Falls,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,1025
Central Falls,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,476
Central Falls,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,840
Central Falls,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,692
Central Falls,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,1168
Central Falls,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,360
Central Falls,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,1387
Central Falls,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,448
Central Falls,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,1316
Central Falls,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,399
Central Falls,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,1544
Central Falls,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,294
Charlestown,SENATOR IN CONGRESS,DEM,John F. REED,2002
Charlestown,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,1044
Charlestown,SENATOR IN CONGRESS,NON,WRITE-IN,1
Charlestown,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,1813
Charlestown,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,1223
Charlestown,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,5
Charlestown,GOVERNOR,DEM,Gina M. RAIMONDO,1177
Charlestown,GOVERNOR,REP,Allan W. FUNG,1137
Charlestown,GOVERNOR,MOD,"Robert J. HEALEY, JR.",728
Charlestown,GOVERNOR,IND,Kate L. FLETCHER,43
Charlestown,GOVERNOR,IND,Leon M. KAYARIAN,12
Charlestown,GOVERNOR,NON,WRITE-IN,4
Charlestown,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,1308
Charlestown,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,1210
Charlestown,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,309
Charlestown,LIEUTENANT GOVERNOR,Lib,Tony JONES,122
Charlestown,LIEUTENANT GOVERNOR,NON,WRITE-IN,6
Charlestown,SECRETARY OF STATE,DEM,Nellie M. GORBEA,1634
Charlestown,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",1308
Charlestown,SECRETARY OF STATE,NON,WRITE-IN,2
Charlestown,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,1517
Charlestown,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,1489
Charlestown,ATTORNEY GENERAL,NON,WRITE-IN,3
Charlestown,GENERAL TREASURER,DEM,Seth MAGAZINER,1628
Charlestown,GENERAL TREASURER,IND,Ernest A. ALMONTE,1317
Charlestown,GENERAL TREASURER,NON,WRITE-IN,2
Charlestown,SENATOR IN GENERAL ASSEMBLY DISTRICT 34,DEM,Catherine COOL RUMSEY,858
Charlestown,SENATOR IN GENERAL ASSEMBLY DISTRICT 34,REP,Elaine J. MORGAN,725
Charlestown,SENATOR IN GENERAL ASSEMBLY DISTRICT 34,NON,WRITE-IN,2
Charlestown,SENATOR IN GENERAL ASSEMBLY DISTRICT 38,REP,Dennis L. ALGIERE,1004
Charlestown,SENATOR IN GENERAL ASSEMBLY DISTRICT 38,NON,WRITE-IN,24
Charlestown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 36,IND,Blake Anthony FILIPPI,1763
Charlestown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 36,DEM,Donna M. WALSH,1252
Charlestown,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 36,NON,WRITE-IN,5
Charlestown,TOWN MODERATOR TOWN OF CHARLESTOWN,IND,Leone D. MAINELLI,1660
Charlestown,TOWN MODERATOR TOWN OF CHARLESTOWN,DEM,Henry A. WALSH,1222
Charlestown,TOWN MODERATOR TOWN OF CHARLESTOWN,NON,WRITE-IN,3
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,IND,Thomas B. GENTZ,1908
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,IND,George C. TREMBLAY,1798
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,IND,Virginia LEE,1797
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,IND,Denise L. RHODES,1712
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,IND,Bonnita B. VAN SLYKE,1624
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,DEM,Paula Ann ANDERSEN,1344
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,DEM,Brandon Thomas CLEARY,1200
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,DEM,Ronald H. RUSSO,1050
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,DEM,Lisa A. DiBELLO,669
Charlestown,TOWN COUNCIL TOWN OF CHARLESTOWN,NON,WRITE-IN,20
Charlestown,CHARIHO SCHOOL COMMITTEE TOWN OF CHARLESTOWN,IND,Donna CHAMBERS,1968
Charlestown,CHARIHO SCHOOL COMMITTEE TOWN OF CHARLESTOWN,IND,Ronald J. AREGLADO,1852
Charlestown,CHARIHO SCHOOL COMMITTEE TOWN OF CHARLESTOWN,IND,Craig F. LOUZON,1752
Charlestown,CHARIHO SCHOOL COMMITTEE TOWN OF CHARLESTOWN,REP,Stephen YOUNG,1200
Charlestown,CHARIHO SCHOOL COMMITTEE TOWN OF CHARLESTOWN,NON,WRITE-IN,17
Charlestown,NON-PARTISAN PLANNING COMMISSION TOWN OF CHARLESTOWN,NON,Barbara A. HEAVERS,1792
Charlestown,NON-PARTISAN PLANNING COMMISSION TOWN OF CHARLESTOWN,NON,Mark C. ALEXANDER,1771
Charlestown,NON-PARTISAN PLANNING COMMISSION TOWN OF CHARLESTOWN,NON,Gordon L. FOER,1763
Charlestown,NON-PARTISAN PLANNING COMMISSION TOWN OF CHARLESTOWN,NON,Constance D. VADNAIS-BAKER,1747
Charlestown,NON-PARTISAN PLANNING COMMISSION TOWN OF CHARLESTOWN,NON,Frances M. TOPPING,1726
Charlestown,NON-PARTISAN PLANNING COMMISSION TOWN OF CHARLESTOWN,NON,WRITE-IN,42
Charlestown,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,1721
Charlestown,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,1331
Charlestown,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,1999
Charlestown,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,968
Charlestown,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,1714
Charlestown,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,1227
Charlestown,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,1879
Charlestown,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,1091
Charlestown,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,1748
Charlestown,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,1291
Charlestown,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,1682
Charlestown,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,1187
Charlestown,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,2104
Charlestown,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,928
Coventry,SENATOR IN CONGRESS,DEM,John F. REED,7861
Coventry,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,4563
Coventry,SENATOR IN CONGRESS,NON,WRITE-IN,12
Coventry,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,7055
Coventry,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,5365
Coventry,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,13
Coventry,GOVERNOR,REP,Allan W. FUNG,4979
Coventry,GOVERNOR,DEM,Gina M. RAIMONDO,3812
Coventry,GOVERNOR,MOD,"Robert J. HEALEY, JR.",3610
Coventry,GOVERNOR,IND,Kate L. FLETCHER,144
Coventry,GOVERNOR,IND,Leon M. KAYARIAN,60
Coventry,GOVERNOR,NON,WRITE-IN,29
Coventry,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,5710
Coventry,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,4631
Coventry,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,1335
Coventry,LIEUTENANT GOVERNOR,Lib,Tony JONES,553
Coventry,LIEUTENANT GOVERNOR,NON,WRITE-IN,33
Coventry,SECRETARY OF STATE,DEM,Nellie M. GORBEA,6401
Coventry,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",5761
Coventry,SECRETARY OF STATE,NON,WRITE-IN,26
Coventry,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,6411
Coventry,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,5901
Coventry,ATTORNEY GENERAL,NON,WRITE-IN,21
Coventry,GENERAL TREASURER,DEM,Seth MAGAZINER,6288
Coventry,GENERAL TREASURER,IND,Ernest A. ALMONTE,5665
Coventry,GENERAL TREASURER,NON,WRITE-IN,26
Coventry,SENATOR IN GENERAL ASSEMBLY DISTRICT 21,REP,Nicholas D. KETTLE,2094
Coventry,SENATOR IN GENERAL ASSEMBLY DISTRICT 21,DEM,Margaux S. MORISSEAU,1409
Coventry,SENATOR IN GENERAL ASSEMBLY DISTRICT 21,IND,Zachary FARNUM,357
Coventry,SENATOR IN GENERAL ASSEMBLY DISTRICT 21,NON,WRITE-IN,6
Coventry,SENATOR IN GENERAL ASSEMBLY DISTRICT 33,DEM,Leonidas P. RAPTAKIS,4704
Coventry,SENATOR IN GENERAL ASSEMBLY DISTRICT 33,REP,Michael E. MADONNA,3798
Coventry,SENATOR IN GENERAL ASSEMBLY DISTRICT 33,NON,WRITE-IN,18
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 25,DEM,Jared R. NUNES,708
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 25,NON,WRITE-IN,31
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 26,REP,Patricia L. MORGAN,562
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 26,DEM,Nicholas A. DENICE,440
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 26,MOD,"Paul P. CAIANIELLO, JR.",67
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 26,NON,WRITE-IN,2
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 27,DEM,Patricia A. SERPA,545
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 27,NON,WRITE-IN,24
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 28,REP,Robert A. NARDOLILLO,3374
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 28,DEM,Scott J. GUTHRIE,1845
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 28,NON,WRITE-IN,11
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 29,DEM,Lisa P. TOMASSO,1765
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 29,REP,Sherry ROBERTS,1719
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 29,NON,WRITE-IN,5
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 40,REP,Michael W. CHIPPENDALE,700
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 40,DEM,Joseph D. CARDILLO,367
Coventry,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 40,NON,WRITE-IN,3
Coventry,NON-PARTISAN TOWN COUNCIL COVENTRY DISTRICT 1,NON,Karen M. CARLSON,1414
Coventry,NON-PARTISAN TOWN COUNCIL COVENTRY DISTRICT 1,NON,Mary K. BRIMER ALBA,1044
Coventry,NON-PARTISAN TOWN COUNCIL COVENTRY DISTRICT 1,NON,WRITE-IN,6
Coventry,NON-PARTISAN TOWN COUNCIL COVENTRY DISTRICT 4,NON,Glenford J. SHIBLEY,1077
Coventry,NON-PARTISAN TOWN COUNCIL COVENTRY DISTRICT 4,NON,David L. RITCHOTTE,959
Coventry,NON-PARTISAN TOWN COUNCIL COVENTRY DISTRICT 4,NON,WRITE-IN,13
Coventry,NON-PARTISAN SCHOOL COMMITTEE COVENTRY DISTRICT 2,NON,Katherine M. PATENAUDE,1194
Coventry,NON-PARTISAN SCHOOL COMMITTEE COVENTRY DISTRICT 2,NON,Helen G. QUINN,945
Coventry,NON-PARTISAN SCHOOL COMMITTEE COVENTRY DISTRICT 2,NON,WRITE-IN,8
Coventry,NON-PARTISAN SCHOOL COMMITTEE COVENTRY DISTRICT 3,NON,Donna M. KALUNIAN,1283
Coventry,NON-PARTISAN SCHOOL COMMITTEE COVENTRY DISTRICT 3,NON,Mark J. FOLEY,658
Coventry,NON-PARTISAN SCHOOL COMMITTEE COVENTRY DISTRICT 3,NON,WRITE-IN,12
Coventry,NON-PARTISAN SCHOOL COMMITTEE COVENTRY DISTRICT 5,NON,James P. PIERSON,1779
Coventry,NON-PARTISAN SCHOOL COMMITTEE COVENTRY DISTRICT 5,NON,WRITE-IN,38
Coventry,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,7051
Coventry,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,5216
Coventry,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,7761
Coventry,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,4273
Coventry,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,7057
Coventry,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,5017
Coventry,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,5945
Coventry,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,5818
Coventry,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,6578
Coventry,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,5562
Coventry,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,6174
Coventry,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,5457
Coventry,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,7375
Coventry,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,4588
Coventry,QUESTION 8 - TOWN OF COVENTRY,NON,Question 8 APPROVE,6999
Coventry,QUESTION 8 - TOWN OF COVENTRY,NON,Question 8 REJECT,5418
Coventry,QUESTION 9 - TOWN OF COVENTRY,NON,Question 9 REJECT,7143
Coventry,QUESTION 9 - TOWN OF COVENTRY,NON,Question 9 APPROVE,5430
Coventry,QUESTION 10 - TOWN OF COVENTRY,NON,Question 10 APPROVE,8595
Coventry,QUESTION 10 - TOWN OF COVENTRY,NON,Question 10 REJECT,3821
Coventry,QUESTION 11 - TOWN OF COVENTRY,NON,Question 11 APPROVE,9300
Coventry,QUESTION 11 - TOWN OF COVENTRY,NON,Question 11 REJECT,2959
Coventry,QUESTION 12 - TOWN OF COVENTRY,NON,Question 12 REJECT,6338
Coventry,QUESTION 12 - TOWN OF COVENTRY,NON,Question 12 APPROVE,5658
Coventry,QUESTION 13 - TOWN OF COVENTRY,NON,Question 13 APPROVE,8697
Coventry,QUESTION 13 - TOWN OF COVENTRY,NON,Question 13 REJECT,3223
Coventry,QUESTION 14 - TOWN OF COVENTRY,NON,Question 14 APPROVE,7266
Coventry,QUESTION 14 - TOWN OF COVENTRY,NON,Question 14 REJECT,4590
Coventry,QUESTION 15 - TOWN OF COVENTRY,NON,Question 15 APPROVE,9655
Coventry,QUESTION 15 - TOWN OF COVENTRY,NON,Question 15 REJECT,2401
Cranston,SENATOR IN CONGRESS,DEM,John F. REED,17895
Cranston,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,8360
Cranston,SENATOR IN CONGRESS,NON,WRITE-IN,41
Cranston,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,16476
Cranston,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,9698
Cranston,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,47
Cranston,GOVERNOR,REP,Allan W. FUNG,14853
Cranston,GOVERNOR,DEM,Gina M. RAIMONDO,8159
Cranston,GOVERNOR,MOD,"Robert J. HEALEY, JR.",3716
Cranston,GOVERNOR,IND,Kate L. FLETCHER,141
Cranston,GOVERNOR,IND,Leon M. KAYARIAN,88
Cranston,GOVERNOR,NON,WRITE-IN,49
Cranston,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,13205
Cranston,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,9927
Cranston,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,1923
Cranston,LIEUTENANT GOVERNOR,Lib,Tony JONES,734
Cranston,LIEUTENANT GOVERNOR,NON,WRITE-IN,94
Cranston,SECRETARY OF STATE,DEM,Nellie M. GORBEA,14398
Cranston,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",11388
Cranston,SECRETARY OF STATE,NON,WRITE-IN,50
Cranston,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,14180
Cranston,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,11807
Cranston,ATTORNEY GENERAL,NON,WRITE-IN,43
Cranston,GENERAL TREASURER,DEM,Seth MAGAZINER,13088
Cranston,GENERAL TREASURER,IND,Ernest A. ALMONTE,12417
Cranston,GENERAL TREASURER,NON,WRITE-IN,56
Cranston,SENATOR IN GENERAL ASSEMBLY DISTRICT 26,DEM,Frank S. LOMBARDI,6615
Cranston,SENATOR IN GENERAL ASSEMBLY DISTRICT 26,NON,WRITE-IN,159
Cranston,SENATOR IN GENERAL ASSEMBLY DISTRICT 27,DEM,Hanna M. GALLO,5839
Cranston,SENATOR IN GENERAL ASSEMBLY DISTRICT 27,REP,Sara E. SWEENEY,3752
Cranston,SENATOR IN GENERAL ASSEMBLY DISTRICT 27,NON,WRITE-IN,23
Cranston,SENATOR IN GENERAL ASSEMBLY DISTRICT 28,DEM,Joshua MILLER,5861
Cranston,SENATOR IN GENERAL ASSEMBLY DISTRICT 28,NON,WRITE-IN,223
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 14,DEM,Charlene LIMA,2108
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 14,NON,WRITE-IN,57
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 15,DEM,Nicholas A. MATTIELLO,4187
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 15,NON,WRITE-IN,198
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 16,REP,Robert B. LANCIA,2774
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 16,DEM,Peter G. PALUMBO,2507
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 16,NON,WRITE-IN,12
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 17,DEM,Robert B. JACQUARD,3559
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 17,NON,WRITE-IN,124
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 18,DEM,Arthur HANDY,2713
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 18,REP,Donald R. GENDRON,1417
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 18,NON,WRITE-IN,13
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 19,DEM,Joseph McNAMARA,455
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 19,NON,WRITE-IN,14
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 20,DEM,David A. BENNETT,17
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 20,NON,WRITE-IN,0
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 41,REP,Lillian Jean DELMONICO,740
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 41,DEM,Michael J. MARCELLO,732
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 41,IND,Robert J. QUATTROCCHI,244
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 41,NON,WRITE-IN,0
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 42,DEM,Stephen R. UCCI,976
Cranston,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 42,NON,WRITE-IN,16
Cranston,COUNCIL - CITY WIDE CITY OF CRANSTON,DEM,Michael J. FARINA,12233
Cranston,COUNCIL - CITY WIDE CITY OF CRANSTON,DEM,"John E. LANNI, JR.",11255
Cranston,COUNCIL - CITY WIDE CITY OF CRANSTON,DEM,"Richard D. SANTAMARIA, JR.",10121
Cranston,COUNCIL - CITY WIDE CITY OF CRANSTON,REP,James E. DONAHUE,9731
Cranston,COUNCIL - CITY WIDE CITY OF CRANSTON,REP,Dolores E. DiMeo CARROLL,9595
Cranston,COUNCIL - CITY WIDE CITY OF CRANSTON,REP,Nicholas J. LIMA,9218
Cranston,COUNCIL - CITY WIDE CITY OF CRANSTON,NON,WRITE-IN,151
Cranston,COUNCIL CRANSTON WARD 1,DEM,Steven A. STYCOS,3033
Cranston,COUNCIL CRANSTON WARD 1,REP,Michael K. GLUCKSMAN,1168
Cranston,COUNCIL CRANSTON WARD 1,NON,WRITE-IN,9
Cranston,COUNCIL CRANSTON WARD 2,REP,"Donald BOTTS, JR.",2058
Cranston,COUNCIL CRANSTON WARD 2,DEM,Thaddeus JENDZEJEC,1816
Cranston,COUNCIL CRANSTON WARD 2,NON,WRITE-IN,4
Cranston,COUNCIL CRANSTON WARD 3,DEM,Paul H. ARCHETTO,2284
Cranston,COUNCIL CRANSTON WARD 3,NON,WRITE-IN,49
Cranston,COUNCIL CRANSTON WARD 4,DEM,Mario ACETO,2981
Cranston,COUNCIL CRANSTON WARD 4,REP,Mark J. COLLINS,2579
Cranston,COUNCIL CRANSTON WARD 4,NON,WRITE-IN,11
Cranston,COUNCIL CRANSTON WARD 5,REP,Christopher G. PAPLAUSKAS,2579
Cranston,COUNCIL CRANSTON WARD 5,DEM,Ralph M. CIUNCI,2214
Cranston,COUNCIL CRANSTON WARD 5,NON,WRITE-IN,10
Cranston,COUNCIL CRANSTON WARD 6,REP,Michael W. FAVICCHIO,2382
Cranston,COUNCIL CRANSTON WARD 6,DEM,Bernadetta PETRONE,1897
Cranston,COUNCIL CRANSTON WARD 6,NON,WRITE-IN,10
Cranston,NON-PARTISAN SCHOOL COMMITTEE CITY-WIDE CITY OF CRANSTON,NON,Michael A. TRAFICANTE,12778
Cranston,NON-PARTISAN SCHOOL COMMITTEE CITY-WIDE CITY OF CRANSTON,NON,Kerri KELLEHER,10723
Cranston,NON-PARTISAN SCHOOL COMMITTEE CITY-WIDE CITY OF CRANSTON,NON,WRITE-IN,88
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 1,NON,Jeffrey K. GALE,3058
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 1,NON,WRITE-IN,54
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 2,NON,Stephanie GIANGRANDE CULHANE,2059
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 2,NON,Edward R. ANGILLY,1327
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 2,NON,WRITE-IN,15
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 3,NON,"Domenic F. FUSCO, JR.",1356
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 3,NON,Richard R. TOMLINS,1008
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 3,NON,WRITE-IN,20
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 4,NON,"Trent M. COLFORD, SR.",3829
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 4,NON,WRITE-IN,69
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 5,NON,Janice RUGGIERI,3090
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 5,NON,Jonathan J. KEITH,1105
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 5,NON,WRITE-IN,21
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 6,NON,Daniel R. WALL,2299
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 6,NON,Jay A. ROSENFIELD,1689
Cranston,NON-PARTISAN SCHOOL COMMITTEE CRANSTON WARD 6,NON,WRITE-IN,9
Cranston,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,15173
Cranston,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,10340
Cranston,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,16288
Cranston,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,8451
Cranston,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,13715
Cranston,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,11258
Cranston,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,15704
Cranston,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,8489
Cranston,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,15079
Cranston,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,10165
Cranston,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,13859
Cranston,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,10100
Cranston,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,17897
Cranston,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,6907
